xxxxxxxxxxxxxxxxxxxx        x
xxxxxxxxxxxxxxxxxxxx        0
11111100101111100100     5568
11111100101111100100     5584
11111100111111001001     5584
11111100111111001001     5600
11111101001110110111     5600
11111101001110110111     5616
11111101011110101010     5616
11111101011110101010     5632
11111101110110011000     5632
11111101110110011000     5648
11111110000110001111     5648
11111110000110001111     5664
11111110010110001000     5664
11111110010110001000     5680
11111110100110000001     5680
11111110100110000001     5696
11111110110100111011     5696
11111110110100111011     5712
11111111001100110101     5712
11111111001100110101     5728
11111111011100110100     5728
11111111011100110100     5744
11111111101100110010     5744
