xxxxxxxxxxxxxxxxxxxx        x
xxxxxxxxxxxxxxxxxxxx        0
00001111110000100000     5600
00001111110000100000     5616
00001111110011001010     5616
00001111110011001010     5632
00001111110110101000     5632
00001111110110101000     5648
00001111111000101010     5648
00001111111000101010     5664
00001111111010011100     5664
00001111111010011100     5680
00001111111011111110     5680
00001111111011111110     5696
00001111111101001000     5696
00001111111101001000     5712
00001111111110101000     5712
00001111111110101000     5728
00001111111111010100     5728
00001111111111010100     5744
00001111111111110000     5744
